Movie Title,Movie URL,Synopsis
A Few Good Men,https://imsdb.com/Movie Scripts/A Few Good Men Script.html,"The facts: Guantanamo Bay, Cuba - Gitmo as it is known - based marines Lance Corporal Harold Dawson and Private Louden Downey assaulted Private William Santiago in the middle of the night, which included stuffing a rag into his mouth, Santiago who died shortly thereafter of respiratory complications. Special Judge Advocate Counsel Lieutenant Joanne Galloway believes Dawson and Downey were just following orders, as part of the marines' unofficial ""code red"" where there is self policing within the ranks, and that there was no intent of murder. Galloway, a naive lawyer who seeks fairness and justice at all cost, wants to be assigned the case but she has no trial experience. Instead, the military assigns Lieutenant Daniel Kaffee to be Dawson and Downey's counsel. Kaffee is a lightweight lawyer who also has no trial experience and has a history of taking, as Galloway refers, the path of least resistance by plea bargaining regardless of his clients' guilt/innocence and their wants. Galloway becomes co-counsel in the case. The two, with their assistant Lieutenant Sam Weinberg, have to decide what to do, not an easy task considering their differing views on law and what is best for all including themselves. They do believe Dawson and Downey's story that they were following unofficial/official code red orders, but are uncertain if their case is winnable, especially against the marine machine run by Gitmo's Colonel Nathan Jessep.—Huggo"
A Most Violent Year,https://imsdb.com/Movie Scripts/A Most Violent Year Script.html,"In 1981 New York City, Abel Morales, from an immigrant background, is trying to live the American Dream on his own moral terms. Married to WASP Anna Morales née Robbins, Abel bought Standard, his father-in-law's heating-oil distribution business operating in the New York market. Operating totally above board, Abel has made such a success of the business that he, Anna, and their two daughters are moving into a palatial new mansion. It looks like he is the front-runner among those competing to purchase a $2.5-million prime riverside property that would allow him to expand the business and become the largest New York heating-oil distributor. If successful in his proposal--$1 million of his own money down, with the remaining $1.5 million, financed through the bank, due in 30 days--this purchase would be the most important business move of his career. However, the industry in New York is known to be fraught with illegal activity, so much so that the Assistant D.A., Mr. Lawrence, has been tasked with cleaning up the crime ingrained in the industry. Anna's father and most if not all of Abel's major competitors were and are corrupt. Lawrence's investigation includes looking into Abel's business during his father-in-law's ownership, and Abel could be charged if they look into the books from those years despite Abel having done nothing wrong himself. He and Anna haven't yet been able to go through the books themselves to hide whatever is required to remain clean. Also, someone--most likely one of his major competitors, is using scare tactics and intimidation to bring him down: hijacking his trucks, so far to the tune of $200,000 worth of stolen oil, beating up his drivers, beating up his salesmen, and making veiled personal threats against him and his family. Even if it is not one of his major competitors orchestrating these attacks, he knows at least one of them is in collusion, as the amount of oil stolen could not be stored anywhere but at one of their facilities. Anna, who is more cutthroat than her husband, wants Abel to fight back using whatever tools, including like violence, to protect himself, the business, and their family. As Abel tries to remain true to himself, Julian, one of his immigrant drivers who was severely beaten during one of those hijackings, could undermine all that Abel has achieved so far, as Julian strives for his own piece of the American Dream.—Huggo"
A Prayer Before Dawn,https://imsdb.com/Movie Scripts/A Prayer Before Dawn Script.html,"Billy Moore, an English boxer, down on his luck, addicted to Ya Ba, and stuck in Thailand, ends up getting arrested and sent to Nakhon Pathom Prison outside of Bangkok, where he struggles to survive and eventually ends up fighting in Muay Tai boxing tournaments.—Gabe Hernandez"
A Quiet Place,https://imsdb.com/Movie Scripts/A Quiet Place Script.html,
A Scanner Darkly,https://imsdb.com/Movie Scripts/A Scanner Darkly Script.html,"In the not too distant future in Orange County California, an undercover narcotics agent is known internally in the force only by his code name, Fred. His identity within can be kept secret as the scanning suit he dons hides his true identity. In reality, he is Bob Arctor. His assignment is to infiltrate a drug ring dealing in a hallucinogen known as Substance D, the ultimate goal to find the source of the drug. Arctor's own use of Substance D and moving within this drug world is making him lose his true identity, which includes a family life with two young daughters. As Fred, he is also assigned to monitor his own movements since one of Arctor's drug colleagues, James Barris, has come to the authorities to report Arctor's drug dealings, although Fred's superior, code named Hank, knows that Fred in his true identity is one of the people in the drug ring being monitored. But Hank and Hank's colleagues will do anything, even sacrifice Fred/Arctor, to achieve the ultimate goal of finding the source of Substance D.—Huggo"
A Serious Man,https://imsdb.com/Movie Scripts/A Serious Man Script.html,"1967. Mild-mannered Larry Gopnik, living in suburban Minneapolis with his wife Judith and their two children, teenage Sarah and preteen Danny, is a Physics professor at a local college. Larry lets life wash over him, especially as it has not placed any major bumps along the way, with a few upcoming perks being that he is on a tenure track, the decision to be made soon, the deliberation by the tenure committee which he is assured is only a formality, and Danny will soon have his bar mitzvah. Minor bumps include Sarah and Danny constantly being at each other's throats, especially about money, all three of his family members treating him more as a fixture than a husband or father, and his unemployed mathematician brother Arthur living with them, sleeping on the sofa in their already-crowded house. Larry doesn't realize that Danny is more interested in listening to Jefferson Airplane and smoking weed than he is in his Hebrew studies for the bar mitzvah. Larry believes that his Jewish faith will keep him safe. However, things slowly go off the rails for Larry. Judith falls in love with their mutual friend, effete widower Sy Ableman, and asks for a divorce; she wants absolutely everything in the settlement, leaving Larry in a financial bind. Larry is having problems with a South Korean exchange student named Clive, who might be bribing him for a passing grade. Although he is further assured that they are not an issue, he learns that someone is sending poison-pen letters about him to the tenure committee, most probably Clive in what seems to be his campaign to get a good grade or else. Their neighbor Brandt is slowly encroaching on their property. Someone has signed him up with the Columbia House record club which is now hounding him to pay for records he never ordered or received. Arthur get into some problems with the law. One distraction are his new neighbors, the Samskys; voluptuous Mrs. Samsky has a penchant for sunbathing nude in their back yard. Larry looks for some answers to all these problems, especially from his faith. He wants to speak most specifically to Rabbi Marshak, the senior rabbi at his synagogue, who is now more a figurehead, so even trying to see him is difficult.—Huggo"
A.I.,https://imsdb.com/Movie Scripts/A.I. Script.html,"Haley Joel Osment stars as David, a ""Mecha"" or robot of the future, when the polar ice caps have melted and submerged many coastal cities, causing worldwide starvation and human dependence upon robotic assistance. The first Mecha designed to experience love, David is the ""son"" of Henry (Sam Robards), an employee of the company that built the boy, and the grief-stricken Monica (Frances O'Connor). David is meant to replace the couple's hopelessly comatose son, but when their natural child recovers, David is abandoned and sets out to become ""a real boy"" worthy of his mother's affection. Along the way, David is mentored by a pleasure-providing Mecha named Gigolo Joe (Jude Law) and a talking ""super toy"" bear named Teddy. His adventures take him to the Roman Circus-style ""Flesh Fair,"" where Mechas are destroyed for the amusement of humans; Rouge City, where Gigolo Joe narrowly avoids capture by police; and finally a submerged New York City, where David's creator, Professor Hobby (William Hurt) reveals the secrets of the boy's creation."
Above the Law,https://imsdb.com/Movie Scripts/Above the Law Script.html,"Nico learned martial arts in Japan, and was in Vietnam for the CIA, and now is a cop in the vice squad of Chicago. A junkie tells him about a big drug deal; However it turns out that the deal was about C4 explosives and that one of the parties was the CIA. Nico gets ordered to keep out of it, but can't imagine why the CIA would sell C4, so he investigates further. While risking his and his young family's life, he discovers that the CIA tries to cover it's connections to drug dealers in Middle America and wouldn't even stop from murder.—Tom Zoerner <Tom.Zoerner@informatik.uni-erlangen.de>"
Absolute Power,https://imsdb.com/Movie Scripts/Absolute Power Script.html,"The ageing ex-con and master thief, Luther Whitney, decides to pull off one last heist before retiring. After breaking into a seemingly impregnable mansion, much to his surprise, becomes the witness of a hideous act of violence, as the young woman, Christy Sullivan, ends up dead. Now, after a narrow escape, Luther is shocked to discover that the U.S. President, Alan Richmond, is involved in the gruesome murder, and as if that weren't enough, Whitney starts to believe that, pretty soon, he'll be next. But, will Luther take this dangerous situation lying down? Will he fight for justice and let the truth shine?—Nick Riganas"
"Abyss, The","https://imsdb.com/Movie Scripts/Abyss, The Script.html","When an American nuclear submarine crashes, the United States Government believe the Russians to be responsible. They enlist the help of a team of underwater drilling platform workers who are to help the deployed Navy SEALS locate the crash site. As they get closer to their destination, the friction between the two teams increases. When some workers report seeing UFO's underwater, the SEALS grow increasingly suspicious and suspect a Russian mini-sub. After a series of near-fatal disasters, the workers find that they are the only people who are capable of stopping World War III. But they are not the only inhabitants of the deep, and strange things are happening back at the surface...—Graeme Roy <gsr@cbmamiga.demon.co.uk>"
